N = 00017 	 rank = 30 	 PSNR_value = 30.164164 
N = 00017 	 rank = 50 	 PSNR_value = 36.442863 
N = 00017 	 rank = 70 	 PSNR_value = 42.123306 
N = 00017 	 rank = 90 	 PSNR_value = 47.235536 
N = 00017 	 rank = 110 	 PSNR_value = 51.922969 
N = 00017 	 rank = 130 	 PSNR_value = 56.786694 
N = 00017 	 rank = 150 	 PSNR_value = 62.153144 
N = 00017 	 rank = 170 	 PSNR_value = 68.339577 
N = 00017 	 rank = 190 	 PSNR_value = 75.930514 
N = 00017 	 rank = 210 	 PSNR_value = 86.018730 
N = 00017 	 rank = 230 	 PSNR_value = 101.727283 
N = 00017 	 rank = 250 	 PSNR_value = 139.800493 
N = 00017 	 rank = 1 	 PSNR_value = 14.473719 
N = 00017 	 rank = 2 	 PSNR_value = 16.296597 
N = 00017 	 rank = 3 	 PSNR_value = 17.930817 
N = 00017 	 rank = 4 	 PSNR_value = 18.680738 
N = 00017 	 rank = 5 	 PSNR_value = 19.384314 
N = 00017 	 rank = 6 	 PSNR_value = 20.025998 
N = 00017 	 rank = 7 	 PSNR_value = 20.655185 
N = 00017 	 rank = 8 	 PSNR_value = 21.185809 
N = 00017 	 rank = 9 	 PSNR_value = 21.674572 
N = 00017 	 rank = 10 	 PSNR_value = 22.185076 
N = 00017 	 rank = 11 	 PSNR_value = 22.667342 
N = 00017 	 rank = 12 	 PSNR_value = 23.154595 
N = 00017 	 rank = 13 	 PSNR_value = 23.606203 
N = 00017 	 rank = 14 	 PSNR_value = 24.028359 
N = 00017 	 rank = 15 	 PSNR_value = 24.468610 
N = 00017 	 rank = 16 	 PSNR_value = 24.923621 
N = 00017 	 rank = 17 	 PSNR_value = 25.354040 
N = 00017 	 rank = 18 	 PSNR_value = 25.757123 
N = 00017 	 rank = 19 	 PSNR_value = 26.169024 
N = 00017 	 rank = 20 	 PSNR_value = 26.556467 
N = 00017 	 rank = 21 	 PSNR_value = 26.934136 
N = 00017 	 rank = 22 	 PSNR_value = 27.312043 
N = 00017 	 rank = 23 	 PSNR_value = 27.705939 
N = 00017 	 rank = 24 	 PSNR_value = 28.075650 
N = 00017 	 rank = 25 	 PSNR_value = 28.445108 
N = 00017 	 rank = 26 	 PSNR_value = 28.803254 
N = 00017 	 rank = 27 	 PSNR_value = 29.149342 
N = 00017 	 rank = 28 	 PSNR_value = 29.488317 
N = 00017 	 rank = 29 	 PSNR_value = 29.829512 
