N = 00030 	 rank = 00001 	 PSNR_value = 14.477112 
N = 00030 	 rank = 00002 	 PSNR_value = 16.292597 
N = 00030 	 rank = 00003 	 PSNR_value = 17.928697 
N = 00030 	 rank = 00004 	 PSNR_value = 18.684663 
N = 00030 	 rank = 00005 	 PSNR_value = 19.396545 
N = 00030 	 rank = 00006 	 PSNR_value = 20.034354 
N = 00030 	 rank = 00007 	 PSNR_value = 20.666160 
N = 00030 	 rank = 00008 	 PSNR_value = 21.195446 
N = 00030 	 rank = 00009 	 PSNR_value = 21.683301 
N = 00030 	 rank = 00010 	 PSNR_value = 22.197381 
N = 00030 	 rank = 00011 	 PSNR_value = 22.676703 
N = 00030 	 rank = 00012 	 PSNR_value = 23.163879 
N = 00030 	 rank = 00013 	 PSNR_value = 23.623370 
N = 00030 	 rank = 00014 	 PSNR_value = 24.045257 
N = 00030 	 rank = 00015 	 PSNR_value = 24.488946 
N = 00030 	 rank = 00016 	 PSNR_value = 24.950585 
N = 00030 	 rank = 00017 	 PSNR_value = 25.375326 
N = 00030 	 rank = 00018 	 PSNR_value = 25.782477 
N = 00030 	 rank = 00019 	 PSNR_value = 26.189766 
N = 00030 	 rank = 00020 	 PSNR_value = 26.575712 
N = 00030 	 rank = 00021 	 PSNR_value = 26.954755 
N = 00030 	 rank = 00022 	 PSNR_value = 27.336048 
N = 00030 	 rank = 00023 	 PSNR_value = 27.730664 
N = 00030 	 rank = 00024 	 PSNR_value = 28.101273 
N = 00030 	 rank = 00025 	 PSNR_value = 28.468899 
N = 00030 	 rank = 00026 	 PSNR_value = 28.831007 
N = 00030 	 rank = 00027 	 PSNR_value = 29.175506 
N = 00030 	 rank = 00028 	 PSNR_value = 29.516040 
N = 00030 	 rank = 00029 	 PSNR_value = 29.853937 
